IdForma,Descripción,Tamaño (CM),Peso (KG)
883 - A,"Atrapa a sus presas congelando su entorno, pero la ubicación de la boca encima de la cabeza le genera dificultades para deglutirlas.",200,175
884 - A,"Su cuerpo, similar a un metal pulido, es tan ligero como robusto. Sin embargo, tiene el defecto de que se oxida con facilidad.",180,40
885 - A,Habitaba los mares en tiempos inmemoriales. Ha revivido en forma de Pokémon de tipo Fantasma para vagar por su antigua morada.,50,2
886 - A,"Vuela a una velocidad de 200 km/h. Lucha junto a un Dreepy, al que cuida hasta el momento de su evolución.",140,11
887 - A,"Vive en compañía de Dreepy, a los que hospeda en el interior de sus cuernos. Los dispara a velocidad supersónica en combate.",300,50
888 - A,Este Pokémon está considerado como un héroe de leyenda. Absorbe el metal para transformarlo y emplearlo como armamento.,280,110
888 - B,Este Pokémon está considerado como un héroe de leyenda. Absorbe el metal para transformarlo y emplearlo como armamento.,280,355
889 - A,"Este Pokémon se erigió en salvador de Galar, tras unir fuerzas con un rey de los hombres. Absorbe el metal para utilizarlo en combate.",290,210
889 - B,"Este Pokémon se erigió en salvador de Galar, tras unir fuerzas con un rey de los hombres. Absorbe el metal para utilizarlo en combate.",290,785
890 - A,Se alimenta de la energía que brota de la tierra de Galar absorbiéndola por el núcleo del pecho.,2000,950
890 - B,Se alimenta de la energía que brota de la tierra de Galar absorbiéndola por el núcleo del pecho.,10000,0
891 - A,"Perfecciona su técnica mediante una estricta disciplina. Según la corriente marcial que siga, adoptará una forma u otra al evolucionar.",60,12
892 - A,Su estilo de lucha se basa en abatir a sus rivales de un solo golpe. Se abalanza sobre ellos con su puño cincelado por el entrenamiento.,190,105
892 - B,Su estilo de lucha se basa en abatir a sus rivales de un solo golpe. Se abalanza sobre ellos con su puño cincelado por el entrenamiento.,190,105
893 - A,"Viven en manada en la selva. Debido a su marcada agresividad, son muy temidos por otros Pokémon selváticos.",180,70
893 - B,"Viven en manada en la selva. Debido a su marcada agresividad, son muy temidos por otros Pokémon selváticos.",180,70
894 - A,"Su cuerpo entero es energía eléctrica. Por lo visto, quitarle los anillos que lleva libera su poder oculto.",120,145
895 - A,"Cierta teoría afirma que la forma de sus brazos representa la cabeza de un Pokémon dragón ancestral, aunque esto no ha podido verificarse.",210,200
896 - A,Libera un potente vaho gélido por las pezuñas. Un ser violento que no duda en tomar a la fuerza todo cuanto desea.,220,800
897 - A,"Examina su entorno con todos los sentidos, salvo la vista. Se dice que sus coces son capaces de robarle el alma a quien las recibe.",200,44.5
898 - A,Un Pokémon muy compasivo agraciado con el poder de la curación. Reinó en Galar en tiempos remotos.,110,7.7
898 - B,Un Pokémon muy compasivo agraciado con el poder de la curación. Reinó en Galar en tiempos remotos.,240,809.1
898 - C,Un Pokémon muy compasivo agraciado con el poder de la curación. Reinó en Galar en tiempos remotos.,240,53.6
899 - A,Sus orbes negros brillan con un fulgor misterioso cuando erige muros invisibles. El pelaje que se desprende de sus barbas es muy codiciado para crear cálidos ropajes para el invierno.,180,95.1
900 - A,"Gracias a un mineral extremadamente escaso que se encuentra en zonas volcánicas, parte de su cuerpo se volvió pétreo al evolucionar.",180,89
901 - A,"Tengo la teoría de que el terreno pantanoso de Hisui favoreció el desarrollo de su constitución robusta, así como su capacidad de manipular la turba a voluntad.",240,290
901 - B,Ha desarrollado unas capacidades y un aspecto especiales tras haber sobrevivido en la tierra donde recaló al atravesar el mar.,240,290
902 - A,Su cuerpo está envuelto en las almas de los compañeros que perecieron durante el arduo viaje para regresar al río que los vio nacer.,300,110
902 - B,Las almas de los compañeros que envuelven su cuerpo lo impulsan y le permiten remontar hasta los rápidos más impetuosos.,300,110
903 - A,"Gracias a su fortaleza física y potente veneno, ninguna especie de las alturas heladas le planta cara. Es de personalidad solitaria y no forma manadas.",130,43
904 - A,"Sus púas tóxicas reaccionan como acto reflejo ante cualquier movimiento, por lo que ensartará todo lo que se acerque incluso mientras duerme.",250,60.5
905 - A,"Su llegada de allende el mar significa el fin del duro invierno. De acuerdo con el folclore, su amor siempre trae consigo un soplo de vida nueva a Hisui.",160,48
905 - B,"Tras perder su apariencia femenina, surge de entre las nubes y, sin piedad alguna, desata toda su furia para castigar a quienquiera que menosprecie el don de la vida.",160,48
906 - A,Su sedoso pelaje se asemeja en composición a las plantas. Se lava la cara con diligencia para que no se le seque.,40,4.1
907 - A,Maneja diestramente la vid oculta bajo su largo pelaje y propina latigazos al enemigo con el capullo endurecido de la punta.,90,12.2
908 - A,Se sirve de la luz que reflejan los tricomas de su manto de hojas para camuflar la vid y crear la ilusión óptica de que la flor flota en el aire.,150,31.2
909 - A,"Yace sobre rocas calientes, cuyo calor transforma en energía ígnea tras absorberlo por sus escamas rectangulares.",40,9.8
910 - A,La mezcla de energía ígnea con el exceso de su propia fuerza vital ha tomado la forma de una bola de fuego de aspecto oval sobre su cabeza.,100,30.7
911 - A,Se dice que el pájaro flamígero al que da forma su canto es un espíritu que moraba en la bola de fuego que le coronaba la cabeza.,160,326.5
912 - A,Un Pokémon llegado hace tiempo desde tierras lejanas y ya establecido en la región. El gel que secreta por las plumas repele el agua y la mugre.,50,6.1
913 - A,Fortalece las extremidades corriendo con tesón por los bajíos. Compite con los suyos para ver cuál posee una técnica más grácil con las patas.,120,21.5
914 - A,"Realiza una exótica danza mientras controla la tremenda fuerza de sus extremidades, capaces de hacer volcar un camión de una patada.",180,61.9
915 - A,"Posee un olfato muy desarrollado que emplea únicamente para buscar comida, actividad a la que dedica el día entero.",50,10.2
916 - A,Su piel suave y lustrosa es su mayor orgullo. Desprende una fragancia concentrada por la punta de la cola.,100,120
916 - B,Desprende una fragancia floral. Puede saltar más de 5 m fácilmente gracias a los músculos tan desarrollados de sus patas.,100,120
917 - A,"La bola de hilo que le rodea el cuerpo es lo bastante elástica como para repeler las guadañas de los Scyther, su enemigo natural.",30,4
918 - A,"Se adhiere con su hilo a ramas y techos, por los que se desplaza en silencio. Acaba con su presa antes de que esta se percate de su presencia.",100,16.5
919 - A,"Mantiene plegado su tercer par de patas, cuya fuerza le permite saltar a más de 10 m de altura para huir en caso de apuro.",20,1
920 - A,"Cuando decide luchar sin cuartel, se alza con su tercer par de patas y entra en modo asalto. Acaba con el rival en un abrir y cerrar de ojos.",100,17.5
921 - A,"Como las bolsas de sus mejillas están poco desarrolladas, genera electricidad frotándolas con las almohadillas de sus patas delanteras.",30,2.5
922 - A,"Cuando su manada se ve amenazada, atacan a la vanguardia usando un arte marcial caracterizado por el empleo de descargas eléctricas.",40,6.5
923 - A,"Este Pokémon es normalmente bastante calmado, pero, una vez en combate, derriba a sus rivales con movimientos de una velocidad vertiginosa.",90,41
924 - A,"Cuando encuentran un material que les parece útil para su nido, lo recortan con sus incisivos y lo acarrean, todo en perfecta compenetración.",30,1.8
925 - A,"Dos crías aparecieron de la noche a la mañana. Podrían ser familia, pero no se sabe a ciencia cierta.",30,2.3
925 - B,"Construyen grandes nidos que dividen en varias cámaras destinadas a distintas funciones, como dormir o comer.",30,2.8
926 - A,Resulta húmedo y suave al tacto. Hace fermentar las cosas a su alrededor con la levadura de su aliento.,30,10.9
927 - A,"El fragante aroma que despide su cuerpo favorece el crecimiento del trigo, por lo que lo aprecian mucho en las comunidades agrícolas.",50,14.9
928 - A,Se defiende de sus rivales segregando por el fruto de su cabeza un aceite tan amargo y agrio que cualquiera daría un respingo al probarlo.,30,6.5
929 - A,No duda en compartir su delicioso aceite de fresco aroma. Convive con los seres humanos desde hace mucho tiempo.,60,11.9
930 - A,Es pacífico y compasivo. Comparte su delicioso y nutritivo aceite con los Pokémon que han perdido las fuerzas.,140,48.2
931 - A,Prefieren vivir en las ciudades. Forman bandadas según el color de su plumaje y libran disputas por el control de los territorios.,60,2.4
931 - B,Las bandadas más nutridas superan los 50 individuos. Sobrevuelan ruidosamente ciudades y bosques en busca de sustento.,60,2.4
931 - C,Su carácter agresivo se ve reflejado en su estilo de combate. Se lanza en picado sobre sus rivales para enfrentarse cuerpo a cuerpo.,60,2.4
931 - D,No se valen bien sin la ayuda de sus congéneres. Poseen un gran sentido de la solidaridad y sobreviven ayudándose los unos a los otros.,60,2.4
932 - A,"Surgen de estratos salinos subterráneos. Antaño se los tenía en alta estima, pues compartían su sal, un mineral por entonces muy preciado.",40,16
933 - A,Escupe sal para recubrir con ella a sus presas y someterlas a un proceso de salazón que extrae la humedad de sus cuerpos.,60,105
934 - A,"Cuando encuentra a un Pokémon herido, frota las puntas de los dedos para rociarlo con sal y curar rápidamente incluso las heridas más graves.",230,240
935 - A,Nació de unos restos de carbón consumidos por las llamas. Reta a rivales poderosos para saciar su ardiente espíritu combativo.,60,10.5
936 - A,Evolucionó al portar la armadura de un guerrero de renombre. Este Pokémon destaca por su gran lealtad.,150,85
937 - A,Las afiladas llamas que cubren sus brazos están avivadas por la frustración de un espadachín que cayó antes de poder cumplir su cometido.,160,62
938 - A,"Produce electricidad agitando la cola. Si siente peligro, hace parpadear su cabeza para alertar a sus compañeros.",30,0.4
939 - A,Puede generar grandes cantidades de energía expandiendo y contrayendo su elástico cuerpo gracias a la dinamo de su ombligo.,120,113
940 - A,"Los huesos de sus alas producen electricidad con las corrientes de aire. Para cazar, se zambulle en el mar y electrocuta a su presa.",40,3.6
941 - A,Aumenta la intensidad de su electricidad al inflar su saco gular. Es capaz de recorrer 700 km en un día impulsado por las corrientes de aire.,140,38.6
942 - A,"Mantiene el ceño fruncido para que sus rivales lo tomen en serio, pero hasta el niño más llorón estallaría en carcajadas al ver su mueca.",50,16
943 - A,Almacena energía en la papada y la libera toda de golpe para arrasar con sus rivales.,110,61
944 - A,"Es manso, pero muerde y paraliza a quien lo enfada con sus afilados incisivos impregnados de toxinas.",20,0.7
945 - A,El color de su saliva venenosa varía según su alimentación. Se embadurna los dedos con ella para pintar motivos en los árboles del bosque.,70,27.2
946 - A,Se dice que este Pokémon nace cuando las almas en pena terminan enredadas en la hierba seca tras ser arrastradas por el viento.,60,0.6
947 - A,"Despliega las ramas para engullir a sus presas. Cuando ha terminado de absorber su energía vital, las escupe.",120,6
948 - A,Los pliegues ondulados que se desprenden de su cuerpo cuentan con una textura curiosa y un sabor delicioso. Habita en bosques húmedos.,90,33
949 - A,Forma colonias de varios ejemplares en lo más profundo de los bosques. No soporta las visitas indeseadas de extraños.,190,58
950 - A,"Acecha a sus presas colgado cabeza abajo de los acantilados, pero no puede aguantar así mucho tiempo porque se le sube la sangre a la cabeza.",130,79
951 - A,"Cuanto más se expone al sol, más aumenta la cantidad de capsaicinoides de su cuerpo y, por lo tanto, la pungencia de sus movimientos.",30,3
952 - A,"La cabeza roja transforma los capsaicinoides de su cuerpo en energía flamígera, lo que le permite arrojar llamaradas extremadamente abrasadoras.",90,15
953 - A,"Mezcla tierra, arena y energía psíquica para crear una bola de barro que atesora por encima de su propia vida.",20,1
954 - A,"El cuerpo que sostiene la bola apenas se mueve, por lo que se cree que el cuerpo en el interior de esta es quien controla sus acciones.",30,3.5
955 - A,La punta de sus extremidades levita a 1 cm del suelo a causa del poder psíquico que emiten los volantes de su abdomen.,20,1.5
956 - A,"Baña al rival con el poder psíquico que emana de sus grandes ojos y lo inmoviliza. A pesar de su aspecto, posee un temperamento feroz.",190,90
957 - A,"Agita su martillo forjado a mano para ahuyentar a posibles amenazas, pero los Pokémon que se alimentan a base de metal suelen robárselo.",40,8.9
958 - A,Asalta el séquito entero de un Bisharp para reunir metal con el que forjar su enorme y robusto martillo.,70,59.1
959 - A,"Posee una notable inteligencia y una exacerbada personalidad. Si ve Corviknight volando, golpea y lanza rocas con su martillo para derribarlos.",70,112.8
960 - A,"Puede percibir el olor de los Veluza a 20 m de distancia, lo que le permite ocultarse bajo la arena a tiempo.",120,1.8
961 - A,"Es de temperamento agresivo, aunque no lo parezca. Envuelve a sus presas con sus largos cuerpos y las arrastra a su nido.",120,5.4
962 - A,"Mete cosas en su bolsa, fabricada con el plumón de su pecho y con plumas mudadas, para luego dejarlas caer desde las alturas por diversión.",150,42.9
963 - A,Le gusta jugar con sus congéneres con el anillo de agua de su aleta caudal. Utiliza ultrasonidos para percibir las emociones de otros seres.,130,60.2
964 - A,Cambia de forma en cuanto recibe una señal de socorro de sus compañeros. Nunca se transforma delante de nadie.,130,60.2
964 - B,Sus genes primigenios han despertado y lo han dotado de tal fuerza que es capaz de acarrear un crucero con una sola aleta sin problema.,180,97.4
965 - A,Se dice que surgió cuando un misterioso Pokémon venenoso tomó posesión de un motor abandonado en un desguace.,100,35
966 - A,"Posee ocho cilindros, con los que genera energía haciendo estallar el gas que produce al mezclar los minerales de las rocas con su veneno.",180,120
967 - A,"Según parece, ha permitido que los humanos monten en él desde tiempos remotos. Aparece en pinturas rupestres de hace diez mil años.",160,63
968 - A,"Cuando lo atacan, usa los pelos de su cuerpo a modo de puños y hace llover un aluvión de puñetazos sobre sus enemigos.",250,310
969 - A,Absorbe nutrientes de las paredes de las cuevas. Cubre su cuerpo con pétalos hechos de energía venenosa cristalizada.,70,8
970 - A,"En cuanto percibe peligro, abre sus pétalos de cristal y despide rayos por su cuerpo en forma de cono.",150,45
971 - A,Se cree que es la reencarnación de un Pokémon perro vagabundo que murió sin haber tenido contacto con humanos.,60,35
972 - A,"Pasa la mayor parte del tiempo durmiendo en cementerios. De todos los Pokémon perro, es el que profesa una mayor lealtad por su Entrenador.",200,15
973 - A,"Al parecer, se anudan la base del cuello para impedir que la energía que tienen almacenada en el estómago escape por el pico.",160,37
974 - A,"Los miembros de esta especie, emparentada al parecer con los Wailmer, abandonaron hace ya mucho tiempo el mar para vivir en tierra firme.",120,45
975 - A,Este Pokémon vive en áreas cubiertas de nieve y hielo. Se protege con su fuerte musculatura y una gruesa capa de grasa subcutánea.,450,700
976 - A,"Al desechar la carne que no necesita, agudiza la mente y sus poderes psíquicos se incrementan. Dicha carne tiene un sabor suave pero exquisito.",250,90
977 - A,"Le gusta mucho comer, pero no se le da bien cazar, por lo que aúna fuerzas con Tatsugiri con el fin de capturar presas.",1200,220
978 - A,Pokémon dragón de pequeño tamaño. Vive en la boca de un Dondozo para protegerse de los ataques de los depredadores.,30,8
978 - B,"Al parecer, tanto los motivos como el color de su cuerpo cambian para adaptarse a los gustos de la presa a la que quiere atraer.",30,8
978 - C,"Se alimenta principalmente de Pokémon pájaro. Es consciente de que es débil, por lo que caza junto a un compañero.",30,8
979 - A,"Cuando su ira explosiva rebasó el punto crítico, adquirió un poder que lo libró para siempre de las limitaciones de su cuerpo material.",120,56
980 - A,"Cuando se siente amenazado, repele al enemigo con sus gruesas púas retráctiles. Esta técnica tan peligrosa es un arma de doble filo.",180,223
981 - A,"Las ondas cerebrales de la cola y la cabeza van al compás, lo que le confiere poderes psíquicos diez veces más potentes que los de los Girafarig.",320,160
982 - A,"Usa su dura cola para horadar el lecho rocoso en las profundidades de la tierra y establecer su madriguera, cuyos túneles se extienden 10 km.",360,39.2
982 - B,"Es de carácter amable. Si un Pokémon se pierde y va a parar a su madriguera, deja que monte sobre su espalda y lo lleva hasta la entrada.",450,47.4
983 - A,Solo el Bisharp más destacado entre las filas de cada gran ejército tiene el honor de evolucionar a Kingambit.,200,120
984 - A,Testigos afirman haberlo visto recientemente. El nombre Colmilargo está tomado de una criatura mencionada en cierto libro.,220,320
985 - A,Solo se había avistado una vez en el pasado. Su aspecto se asemeja al de una misteriosa criatura descrita en cierto diario antiguo.,120,8
986 - A,Es posible que se trate de la criatura que se menciona en cierto libro bajo el nombre de Furioseta.,120,21
987 - A,Sus rasgos distintivos encajan con la descripción de una criatura mencionada en cierto libro bajo el nombre de Melenaleteo.,140,4
988 - A,"Un misterioso Pokémon que presenta ciertas similitudes con Reptalada, una criatura descrita en un tomo antiguo.",320,92
989 - A,"Nunca se había capturado uno, ergo los datos al respecto escasean. Su descripción coincide con la de una criatura mencionada en cierto diario.",230,60
990 - A,Su aspecto recuerda al de un arma científica de origen extraterrestre que apareció en un artículo de una revista esotérica.,90,240
991 - A,Tiene una forma similar a la del robot construido por una civilización antigua mencionado en cierto artículo de una revista esotérica.,60,11
992 - A,"Guarda parecido con un atleta, supuestamente transformado en cíborg, que apareció entre las exclusivas de una revista esotérica.",180,380.7
993 - A,Se asemeja a un Pokémon que apareció en una revista esotérica descrito como “el fruto de un romance entre un Hydreigon y un robot”.,130,111
994 - A,Se asemeja a un extraño objeto descrito en una revista esotérica como “un ovni enviado con el objetivo de espiar a la raza humana”.,120,36
995 - A,"Guarda similitudes con el supuesto aspecto que, según cierta revista de dudosa veracidad, tendrá Tyranitar dentro de mil millones de años.",160,303
996 - A,"Absorbe el calor a través de la placa dorsal y lo convierte en energía gélida. Cuanto más alta es la temperatura, más energía acumula.",50,17
997 - A,Congela el aire a su alrededor para cubrirse el rostro con una máscara de hielo protectora y dotar su placa dorsal de cuchillas glaciales.,80,30
998 - A,Exhala un aliento extremadamente frío por la boca que es capaz de congelar al instante incluso magma al rojo vivo.,210,210
999 - A,El cofre en el que nació data de hace 1500 años aproximadamente. Absorbe la energía vital de los granujas que intentan hacerse con su tesoro.,30,5
999 - B,"Nació de una moneda imbuida de sentimientos. Al parecer, vaga de un lado para otro con el fin de regresar al cofre que una vez lo contuvo.",10,1
1000 - A,Se dice que su cuerpo está formado por 1000 monedas. Es capaz de hacer buenas migas con cualquiera rápidamente por su sociabilidad.,120,30
1001 - A,Este Pokémon nació al imbuirse en hojas marchitas el rencor de una persona castigada por enumerar las fechorías de su rey en unas tablillas.,150,74.2
1002 - A,Controla a su voluntad masas de nieve de hasta cien toneladas. Se divierte zambulléndose y saltando felizmente en los aludes que provoca.,190,152.2
1003 - A,Este Pokémon nació al imbuirse en tierra y rocas el miedo vertido en un caldero que se utilizaba en rituales antiguos.,270,699.7
1004 - A,Controla a su voluntad llamas de hasta 3000 ºC. Nada tranquilamente por los mares de magma que crea al derretir las rocas y la grava a su paso.,40,4.9
1005 - A,Podría tratarse de la criatura que aparece bajo el nombre de Bramaluna en cierto diario repleto de incógnitas.,200,380
1006 - A,Comparte varios rasgos con el invento de un científico loco que apareció en un artículo de una revista esotérica.,140,35
1007 - A,"Parece tratarse de Reyalado, la criatura que, según lo narrado en un antiguo diario, fue capaz de dividir la tierra con sus puños.",250,303
1007 - B,Es su forma inicial y más débil. Durante el desarrollo del juego Koraidon va adquiriendo habilidades para mejorar su fisonomía.,350,303
1007 - C,Con esta forma puede desplazarse rápidamente sobre tierra firme y trepar por paredes escarpadas usando sus patas.,350,303
1007 - D,Con esta forma puede flotar en el agua y nadar impulsándose con las membranas que tiene entre sus dedos.,350,303
1007 - E,Con esta forma las antenas de su cabeza despliegan unas alas con las que puede planear aprovechando las corrientes de aire.,350,303
1008 - A,"Pese a las similitudes con los Cyclizar, es mucho más fuerte y despiadado que ellos. Está rodeado de incógnitas.",350,240
1008 - B,Es su forma inicial y más débil. Durante el desarrollo del juego Miraidon va adquiriendo habilidades para mejorar sus modos.,280,240
1008 - C,Con esta forma puede desplazarse rápidamente con sus discos en forma de rueda y trepar por paredes escarpadas.,280,240
1008 - D,Con esta forma puede nadar por el agua haciendo rotar los discos y los propulsores de sus patas traseras.,280,240
1008 - E,Con esta forma sus antenas se transforman en alas y puede planear grandes distancias con los propulsores de sus patas traseras.,280,240
1009 - A,"Una criatura violenta rodeada de misterio, cuyo nombre se inspira en cierto monstruo acuático mencionado en un viejo diario de exploración.",350,280
1010 - A,Presenta numerosas características en común con el Virizion del futuro que apareció publicado en cierta revista esotérica.,150,125
1011 - A,Ha evolucionado gracias a una manzana especial que solo se cultiva en cierta zona. Este Pokémon está formado por dos individuos.,40,9.7
1012 - A,"Según se dice, el resquemor de un practicante de la ceremonia del té que murió sin perfeccionar el arte poseyó el matcha y dio lugar a un Pokémon.",10,1.1
1013 - A,"Se hace pasar por té matcha para que algún incauto lo beba y así absorber su energía vital, pero su plan suele fracasar.",20,2.2
1014 - A,Las toxinas de la cadena que lleva al cuello producen una estimulación muscular que le ha conferido un cuerpo de lo más robusto.,180,92.2
1015 - A,"Las toxinas de la cadena, capaces de sacar a relucir su potencial, le han estimulado el cerebro y le han hecho desarrollar poderes psíquicos.",100,12.2
1016 - A,Ha desarrollado una forma y una voz muy bellas gracias a la estimulación causada por las toxinas de la cadena que lleva en torno al cuerpo.,140,30.1
1017 - A,Cambia de tipo según la máscara que lleve. Se vale de sus rápidos movimientos y patadas para jugar a su antojo con sus enemigos.,120,39.8
1017 - B,Esta forma destaca en la ofensiva y la defensiva. Arremete con movimientos incesantes que se asemejan a un potente chorro de agua.,120,39.8
1017 - C,Esta forma se especializa en la ofensiva. Agrede a sus enemigos con la violencia de las llamas que arden con fuerza en un horno.,120,39.8
1017 - D,Esta forma se especializa en la defensiva. Resiste los impactos con la robustez de los cimientos de una casa.,120,39.8
1018 - A,Acumula la electricidad estática de su entorno. El rayo que dispara cuando está a cuatro patas posee una potencia colosal.,200,60
1019 - A,Se trata de siete seres llamados Viborappli que viven juntos en una manzana de caramelo. El del centro es el líder del grupo.,180,93
1020 - A,"Apenas constan avistamientos de este Pokémon, pero existe una breve grabación donde aparece desbocado y escupiendo ráfagas de fuego.",350,590
1021 - A,"Se dice que calcina todo cuanto lo rodea con los rayos que libera su pelaje. Aparte de eso, se sabe muy poco sobre esta criatura.",520,480
1022 - A,Recuerda a un Pokémon descrito en cierta revista de dudosa veracidad como “un Terrakion modificado por una malvada organización”.,150,162.5
1023 - A,Se asemeja a un extraño objeto descrito en una revista esotérica como “un arma de tecnología punta con forma de Cobalion”.,160,156
1024 - A,Se vale de su capacidad para transformar energía en duros cristales para protegerse. Este Pokémon dio origen a la teracristalización.,20,6.5
1024 - B,"Cuando presiente peligro, se prepara para combatir formando un caparazón de cristales muy resistente mediante la teracristalización.",30,16
1024 - C,Adopta esta forma cuando su energía Teracristal se ve amplificada descomunalmente. Se asemeja a la imagen del mundo que la gente tenía antaño.,170,77
1025 - A,"Hace comer a su objetivo un mochi tóxico que saca a relucir todo su potencial y su ambición, para después controlarlo con sus cadenas.",30,0.3
